比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,144,015282,华安恒生科技,07-01,1.3572,1.3572,-0.08%,-0.02%,1.82%,-1.53%,17.00%,46.17%,29.66%,11.18%,17.00%,35.72%,46.17%,0.05%,
,145,021093,广发中证港股,07-01,1.2580,1.2580,-0.08%,0.54%,5.16%,2.81%,20.49%,45.94%,---,---,20.49%,25.80%,45.94%,0.00%,
,146,015283,华安恒生科技,07-01,1.3463,1.3463,-0.08%,-0.02%,1.81%,-1.58%,16.94%,45.85%,28.91%,10.33%,16.94%,34.63%,45.85%,0.00%,
,147,014117,国泰中证沪港,07-01,0.7089,0.7089,0.98%,-0.28%,3.64%,5.82%,25.80%,45.68%,7.98%,-12.56%,25.80%,-29.11%,45.68%,0.10%,
,148,014438,博时恒生科技,07-01,1.0200,1.0200,-0.07%,-0.02%,1.79%,-2.85%,15.82%,45.61%,30.62%,14.65%,15.82%,2.00%,45.61%,0.12%,
,149,012571,建信恒生科技,06-30,1.5465,1.5465,-0.74%,1.99%,2.20%,-2.71%,16.66%,45.55%,30.02%,---,16.66%,54.65%,---,0.00%,
,150,021092,广发中证港股,07-01,1.2541,1.2541,-0.08%,0.55%,5.18%,2.90%,20.10%,45.44%,---,---,20.10%,25.41%,45.44%,0.10%,
,151,012349,天弘恒生科技,07-01,0.7555,0.7555,-0.07%,0.00%,1.92%,-3.18%,16.50%,45.43%,30.85%,11.09%,16.50%,-24.45%,45.43%,0.00%,
,152,014439,博时恒生科技,07-01,1.0065,1.0065,-0.07%,-0.02%,1.77%,-2.89%,15.70%,45.34%,30.01%,13.88%,15.70%,0.65%,45.34%,0.00%,
,153,013402,华夏恒生科技,07-01,0.9253,0.9253,-0.08%,-0.02%,1.94%,-3.11%,15.81%,45.33%,31.16%,12.99%,15.81%,-7.47%,45.33%,0.12%,
,154,018663,中欧国证20,07-01,1.1732,1.1956,0.48%,2.93%,6.45%,6.17%,14.35%,45.29%,---,---,14.35%,19.81%,45.29%,0.15%,
,155,014118,国泰中证沪港,07-01,0.7012,0.7012,0.98%,-0.30%,3.61%,5.73%,25.60%,45.24%,7.33%,-13.35%,25.60%,-29.88%,45.24%,0.00%,
,156,017846,国金中证10,07-01,1.0896,1.0896,0.06%,2.75%,7.88%,9.53%,19.33%,45.16%,10.45%,---,19.33%,8.96%,45.16%,--,
,157,019171,天弘中证沪港,07-01,1.3334,1.3334,-0.86%,3.91%,9.60%,2.89%,12.35%,45.16%,---,---,12.35%,33.34%,45.16%,0.10%,
,158,020226,国泰中证全指,07-01,1.2487,1.2487,-0.68%,2.24%,4.62%,-1.08%,3.04%,45.06%,---,---,3.04%,24.87%,45.06%,0.10%,
,159,016942,工银中证10,07-01,1.1332,1.1332,0.35%,2.58%,6.75%,8.23%,19.13%,44.93%,13.27%,---,19.13%,13.32%,44.93%,0.15%,
,160,013403,华夏恒生科技,07-01,0.9150,0.9150,-0.08%,-0.02%,1.92%,-3.17%,15.65%,44.89%,30.38%,11.98%,15.65%,-8.50%,44.89%,0.00%,
,161,013127,汇添富恒生科,07-01,0.8728,0.8728,-0.07%,0.00%,2.15%,-2.61%,15.68%,44.86%,30.70%,9.47%,15.68%,-12.72%,44.86%,0.10%,
,162,019170,天弘中证沪港,07-01,1.3287,1.3287,-0.85%,3.91%,9.58%,2.83%,12.25%,44.86%,---,---,12.25%,32.87%,44.86%,0.00%,
,163,020227,国泰中证全指,07-01,1.2447,1.2447,-0.69%,2.23%,4.60%,-1.13%,2.93%,44.77%,---,---,2.93%,24.47%,44.77%,0.00%,
,164,017847,国金中证10,07-01,1.0798,1.0798,0.06%,2.75%,7.84%,9.42%,19.10%,44.59%,9.58%,---,19.10%,7.98%,44.59%,0.00%,
,165,013308,易方达恒生科,07-01,1.3194,1.3194,-0.07%,0.00%,1.99%,-2.93%,15.77%,44.58%,30.47%,13.83%,15.77%,31.94%,44.58%,0.06%,
,166,013128,汇添富恒生科,07-01,0.8657,0.8657,-0.08%,-0.01%,2.14%,-2.66%,15.55%,44.55%,30.14%,8.76%,15.55%,-13.43%,44.55%,0.00%,
,167,017953,汇添富中证1,07-01,1.2333,1.2333,0.54%,3.65%,7.08%,7.86%,17.48%,44.50%,19.04%,---,17.48%,23.33%,44.50%,0.12%,
,168,018664,中欧国证20,07-01,1.1595,1.1817,0.48%,2.92%,6.39%,6.01%,14.01%,44.42%,---,---,14.01%,18.41%,44.42%,0.00%,
,169,007300,国联安中证半,07-01,2.0890,2.0890,-0.41%,2.13%,4.58%,-0.45%,3.46%,44.36%,16.22%,4.65%,3.46%,108.88%,44.36%,0.08%,
,170,016943,工银中证10,07-01,1.1230,1.1230,0.35%,2.58%,6.72%,8.13%,18.91%,44.36%,12.38%,---,18.91%,12.30%,44.36%,0.00%,
,171,015787,鹏扬中证数字,07-01,1.1797,1.1797,-1.00%,2.08%,3.90%,-1.19%,-0.05%,44.18%,7.25%,---,-0.05%,17.97%,44.18%,0.12%,
,172,017954,汇添富中证1,07-01,1.2266,1.2266,0.54%,3.64%,7.05%,7.80%,17.33%,44.15%,18.44%,---,17.33%,22.66%,44.15%,0.00%,
,173,004069,南方中证全指,07-01,1.2133,1.2133,-0.44%,2.55%,7.88%,4.06%,-3.11%,44.13%,30.18%,19.43%,-3.11%,21.33%,44.13%,0.12%,
,174,000950,易方达沪深3,07-01,1.1020,1.1020,-0.21%,1.69%,7.68%,6.81%,0.59%,44.11%,31.17%,26.41%,0.59%,10.20%,44.11%,0.10%,
,175,013309,易方达恒生科,07-01,1.3044,1.3044,-0.07%,-0.01%,1.96%,-3.00%,15.60%,44.10%,29.65%,12.68%,15.60%,30.44%,44.10%,0.00%,
,176,007301,国联安中证半,07-01,2.0529,2.0529,-0.41%,2.12%,4.56%,-0.51%,3.34%,44.00%,15.64%,3.87%,3.34%,105.27%,44.00%,0.00%,
,177,007882,易方达沪深3,07-01,1.0954,1.0954,-0.21%,1.69%,7.67%,6.80%,0.55%,43.98%,30.92%,26.02%,0.55%,8.58%,43.98%,0.00%,
,178,015859,宝盈国证证券,07-01,1.2387,1.2387,-0.61%,2.41%,7.49%,4.28%,-2.35%,43.98%,27.53%,---,-2.35%,23.87%,43.98%,0.10%,
,179,019785,广发上证科创,07-01,1.1901,1.1901,-0.68%,1.51%,4.06%,0.63%,12.66%,43.98%,---,---,12.66%,19.01%,43.98%,0.12%,
,180,015310,华泰柏瑞恒生,07-01,1.2676,1.2676,-0.06%,-0.01%,1.79%,-2.98%,14.55%,43.90%,30.33%,---,14.55%,26.76%,43.90%,0.12%,
,181,012804,广发恒生科技,07-01,0.9015,0.9015,-0.07%,-0.03%,1.90%,-3.54%,15.47%,43.71%,30.22%,9.78%,15.47%,-9.85%,43.71%,0.12%,
