比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,161,017147,嘉实积极配置,07-01,1.1358,1.1358,-0.19%,0.33%,2.90%,6.83%,18.61%,54.45%,15.43%,---,18.61%,13.58%,54.45%,0.15%,
,162,018203,信澳核心科技,07-01,1.4144,1.4144,-1.64%,1.10%,5.53%,2.68%,14.98%,54.29%,-2.46%,---,14.98%,-7.07%,54.29%,0.00%,
,163,014233,博时专精特新,07-01,1.0618,1.0618,0.08%,3.41%,9.42%,8.79%,24.23%,54.26%,17.53%,15.30%,24.23%,6.18%,54.26%,0.00%,
,164,015043,西部利得时代,07-01,1.0666,1.0666,0.18%,4.00%,7.38%,2.51%,12.34%,54.22%,21.16%,3.31%,12.34%,6.66%,54.22%,0.15%,
,165,012876,富荣福耀混合,07-01,0.9165,0.9165,0.53%,2.52%,6.13%,14.21%,25.32%,54.19%,10.66%,-8.72%,25.32%,-8.35%,54.19%,0.15%,
,166,010221,海富通消费核,07-01,1.0232,1.0232,2.18%,2.47%,2.77%,14.01%,21.12%,54.14%,29.75%,14.81%,21.12%,2.32%,54.14%,0.00%,
,167,017649,信澳聚优智选,07-01,1.0616,1.0616,-1.58%,1.10%,5.86%,2.90%,14.38%,54.10%,-0.17%,---,14.38%,6.16%,54.10%,0.00%,
,168,001965,圆信永丰兴源,07-01,2.1266,2.1266,1.09%,5.53%,5.29%,9.73%,25.24%,54.08%,22.11%,38.07%,25.24%,112.66%,54.08%,0.15%,
,169,005537,中航新起航灵,07-01,0.6439,0.6439,-0.36%,-0.25%,17.56%,21.79%,32.95%,54.08%,-5.81%,-37.11%,32.95%,-35.61%,54.08%,0.10%,
,170,019053,华商元亨混合,07-01,1.9411,2.2581,0.27%,5.90%,18.34%,12.58%,22.17%,54.07%,---,---,22.17%,54.36%,54.07%,0.00%,
,171,001966,圆信永丰兴源,07-01,2.1094,2.1094,1.09%,5.52%,5.29%,9.69%,25.17%,53.93%,21.86%,37.65%,25.17%,110.94%,53.93%,0.00%,
,172,005538,中航新起航灵,07-01,0.6317,0.6317,-0.35%,-0.25%,17.55%,21.76%,32.88%,53.92%,-6.00%,-37.30%,32.88%,-36.83%,53.92%,0.00%,
,173,017148,嘉实积极配置,07-01,1.1254,1.1254,-0.20%,0.32%,2.87%,6.73%,18.40%,53.87%,14.61%,---,18.40%,12.54%,53.87%,0.00%,
,174,011924,嘉实港股互联,07-01,0.8161,0.8161,-0.09%,0.59%,6.08%,6.86%,31.25%,53.84%,27.18%,11.20%,31.25%,-18.39%,53.84%,0.15%,
,175,001412,德邦鑫星价值,07-01,1.8026,1.9406,-0.35%,8.06%,30.10%,20.79%,7.95%,53.82%,50.72%,32.31%,7.95%,104.99%,53.82%,0.15%,
,176,005551,汇安成长优选,07-01,1.2803,1.2803,-0.48%,7.48%,20.42%,5.04%,31.33%,53.77%,15.25%,-8.65%,31.33%,28.03%,53.77%,0.00%,
,177,020384,金信转型创新,07-01,2.2746,2.6416,0.01%,5.43%,7.49%,6.95%,19.12%,53.71%,---,---,19.12%,42.41%,53.71%,0.00%,
