比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,137,013340,创金合信芯片,07-01,0.9706,0.9706,-1.04%,2.57%,6.11%,-1.88%,0.32%,34.81%,4.51%,10.80%,0.32%,-2.94%,34.81%,0.00%,
,138,018194,建信新材料精,07-01,1.5258,1.5258,0.87%,3.44%,7.16%,10.85%,21.61%,34.81%,---,---,21.61%,52.58%,34.81%,0.15%,
,139,016848,中欧高端装备,07-01,1.0629,1.0629,0.00%,16.39%,20.16%,19.29%,27.66%,34.77%,10.75%,---,27.66%,6.29%,34.77%,0.00%,
,140,007950,招商量化精选,07-01,2.8189,2.8189,1.02%,3.26%,7.59%,4.11%,15.11%,34.75%,23.38%,37.17%,15.11%,185.26%,34.75%,0.00%,
,141,005777,广发科技动力,07-01,1.3559,1.3559,-0.20%,5.15%,7.92%,3.68%,17.40%,34.73%,0.90%,-11.56%,17.40%,35.59%,34.73%,0.15%,
,142,015734,红塔红土信息,07-01,1.4308,1.4308,0.59%,4.96%,11.40%,4.58%,11.05%,34.64%,26.02%,---,11.05%,43.08%,34.64%,0.10%,
,143,003865,创金合信量化,07-01,1.1412,1.7718,0.11%,2.37%,7.26%,6.36%,14.03%,34.48%,6.17%,0.01%,14.03%,48.04%,34.48%,0.00%,
,144,003984,嘉实新能源新,07-01,1.7825,1.7825,-0.65%,0.14%,4.75%,-0.03%,4.56%,34.34%,-16.57%,-46.04%,4.56%,78.25%,34.34%,0.15%,
,145,006265,红土创新新科,07-01,2.8958,2.9458,-1.24%,6.39%,12.66%,4.20%,15.11%,34.15%,-5.50%,-30.97%,15.11%,193.98%,34.15%,0.15%,
,146,018195,建信新材料精,07-01,1.5129,1.5129,0.87%,3.44%,7.13%,10.75%,21.36%,34.13%,---,---,21.36%,51.29%,34.13%,0.00%,
,147,009896,广发港股通成,07-01,0.6503,0.6503,-0.08%,2.38%,6.55%,7.58%,21.28%,34.11%,10.60%,-13.78%,21.28%,-34.97%,34.11%,0.15%,
,148,015735,红塔红土信息,07-01,1.4177,1.4177,0.59%,4.95%,11.37%,4.48%,10.84%,34.10%,25.03%,---,10.84%,41.77%,34.10%,0.00%,
,149,011592,博时军工主题,07-01,1.5660,1.5660,-0.19%,7.41%,11.22%,7.55%,15.74%,34.08%,-6.12%,-22.01%,15.74%,-14.61%,34.08%,0.00%,
,150,006002,工银医药健康,07-01,2.0265,2.5741,1.47%,0.32%,6.52%,9.78%,33.65%,34.06%,-0.32%,-14.08%,33.65%,143.34%,34.06%,0.15%,
,151,003985,嘉实新能源新,07-01,1.7214,1.7214,-0.65%,0.13%,4.71%,-0.16%,4.30%,33.67%,-17.40%,-46.84%,4.30%,72.14%,33.67%,0.00%,
,152,009897,广发港股通成,07-01,0.6376,0.6376,-0.08%,2.36%,6.52%,7.47%,21.03%,33.50%,9.67%,-14.85%,21.03%,-36.24%,33.50%,0.00%,
,153,011236,摩根行业睿选,07-01,0.7327,0.7327,1.16%,4.37%,11.62%,7.86%,17.78%,33.44%,2.18%,-21.62%,17.78%,-26.73%,33.44%,0.15%,
,154,011923,大成消费精选,07-01,0.8391,0.8391,0.79%,2.14%,3.36%,10.61%,20.47%,33.32%,11.48%,-8.47%,20.47%,-16.09%,33.32%,0.15%,
